Time (s),X (hPa)
-0.561974583,1004.154434
0.438342417,1004.152603
1.438885417,1004.150772
2.439458417,1004.148636
3.440036417,1004.148636
4.440613417,1004.161148
4.991560417,1004.166336
5.992138417,1004.167557
6.992716417,1004.171753
7.993290417,1004.171753
8.993873417,1004.165649
9.994446417,1004.161682
10.99501842,1004.157867
11.99560042,1004.156876
12.99617442,1004.156876
13.99674942,1004.157944
14.99732542,1004.157944
15.99789342,1004.155426
16.99847742,1004.155426
17.99905442,1004.158859
18.99963142,1004.160538
20.00020942,1004.160919
21.00078442,1004.160919
22.00136242,1004.160919
23.00193642,1004.159012
24.00251242,1004.149475
25.00308942,1004.140091
26.00366542,1004.133911
27.00424142,1004.120331
28.00482042,1004.10347
29.00539442,1004.08287
30.00597242,1004.06662
31.00654742,1004.052505
32.00712442,1004.036179
33.00770442,1004.025726
34.00858542,1004.01619
35.00889342,1004.008713
36.00943142,1004.002533
37.01000042,1003.990326
38.01058442,1003.972549
39.01116042,1003.964691
40.01173742,1003.957367
41.01231142,1003.945236
42.01288842,1003.937073
43.01346442,1003.930435
44.01404242,1003.920975
45.01462242,1003.913574
46.01519742,1003.906937
47.01577042,1003.900909
48.01635042,1003.898926
49.01692542,1003.891907
50.01749942,1003.876648
51.01807942,1003.863144
52.01865542,1003.846817
53.01923542,1003.828125
54.01980942,1003.814621
55.02038442,1003.794937
56.02095842,1003.767395
57.02153442,1003.741913
58.02211342,1003.72345
59.02268842,1003.694077
60.02326642,1003.685303
61.02384242,1003.682327
62.02441942,1003.680878
63.02499842,1003.664474
64.02557242,1003.661957
65.02614842,1003.654709
66.02672542,1003.646164
67.02729842,1003.646164
68.02787842,1003.647308
69.02844642,1003.651047
70.02903342,1003.654938
71.02961042,1003.654938
72.03018642,1003.65242
73.03075942,1003.646393
74.03133542,1003.617783
75.03191442,1003.590698
76.03248842,1003.568573
77.03306842,1003.550797
78.03364142,1003.525772
79.03422042,1003.519592
80.03479542,1003.515854
81.03582942,1003.50914
82.03620942,1003.507996
83.03655742,1003.507996
84.03710442,1003.507996
85.03767742,1003.503418
86.03825242,1003.480682
87.03882942,1003.460083
88.03940742,1003.434219
89.03998742,1003.409882
90.04056142,1003.401413
91.04114042,1003.401031
92.04171342,1003.401413
93.04228742,1003.401031
94.04286442,1003.401642
95.04344142,1003.405228
96.04401942,1003.406143
97.04459242,1003.41301
98.04517042,1003.417892
99.04574742,1003.418121
100.0463214,1003.419189
101.0468994,1003.418121
102.0474754,1003.41629
103.0480494,1003.408279
104.0486254,1003.395691
105.0492074,1003.388443
106.0497824,1003.376846
107.0503594,1003.370514
108.0509354,1003.370514
109.0515114,1003.368454
110.0520864,1003.368454
111.0526654,1003.343658
112.0532374,1003.32283
113.0538184,1003.303528
114.0543984,1003.28064
115.0549684,1003.273544
116.0555414,1003.273544
117.0561224,1003.279495
118.0566974,1003.283615
119.0572714,1003.286743
120.0578504,1003.288422
121.0584284,1003.288956
122.0590044,1003.289261
123.0595774,1003.289261
124.0601574,1003.278885
125.0607354,1003.273621
126.0613104,1003.269196
127.0618854,1003.262787
128.0624604,1003.259201
129.0630374,1003.255768
130.0636144,1003.255768
131.0641924,1003.254318
132.0647674,1003.254318
133.0653414,1003.255539
134.0659204,1003.258896
135.0664964,1003.266068
136.0670694,1003.273239
137.0678854,1003.273239
138.0682234,1003.262787
139.0688004,1003.250885
140.0693754,1003.238068
141.0699524,1003.221893
142.0705294,1003.211823
143.0711094,1003.211823
144.0716834,1003.21167
145.0722574,1003.208542
146.0728354,1003.204575
147.0734134,1003.200989
148.0739894,1003.19603
149.0745654,1003.19603
150.0751414,1003.20694
151.0757164,1003.218307
152.0762974,1003.235168
153.0768734,1003.264236
154.0774504,1003.297272
155.0780244,1003.332443
156.0786024,1003.394165
157.0791834,1003.481369
158.0797584,1003.594971
159.0803314,1003.726196
160.0809074,1003.854904
161.0814814,1003.974457
162.0820574,1004.056168
163.0826344,1004.101791
164.0832144,1004.120865
165.0837874,1004.120865
166.0843664,1004.116516
167.0849434,1004.113998
168.0855154,1004.109116
169.0860994,1004.100113
