Time (s),X (�T),Y (�T),Z (�T)
0.097679167,7.106162071,-2.554534912,-35.65731812
0.428141167,6.403343201,-3.294029236,-35.89828491
0.758603167,4.947256088,-3.617271423,-36.36535645
1.089066583,4.166854858,-3.732620239,-36.34786987
1.419528583,5.140062332,-4.022941589,-35.8583374
1.749990583,5.310369492,-2.949325562,-36.48751831
2.080452583,6.63100338,2.339065552,-36.07138062
2.410914292,6.727330208,4.260269165,-35.72521973
2.741376292,7.128403664,3.601806641,-35.81484985
3.071837292,6.733527184,-0.291938782,-35.71270752
3.402299583,10.76692772,-21.31463623,-29.2585144
3.732761583,7.191306114,-34.28269958,-18.10388184
4.063222583,8.671397209,-35.60606384,-15.74624634
4.393683042,-7.471790314,-30.21925354,-23.98083496
4.724145042,-0.510803223,-31.28447723,-23.92703247
5.054606042,-6.77649498,-32.10559845,-21.96890259
5.385069083,7.025752068,-30.2549057,-23.9803772
5.715530083,21.00594139,-27.17578125,-20.34283447
6.045991083,25.37963295,-24.29478455,-18.06872559
6.376450792,10.35569382,-27.41323853,-25.98553467
6.706911792,6.316103935,-35.77555847,-16.97216797
7.037372792,9.614387512,-35.73082733,-15.68798828
7.367834292,9.273996353,-34.77050781,-17.85083008
7.698295292,10.86266708,-30.93626404,-21.64227295
8.028756292,25.14808846,-19.55886841,-23.00054932
8.359216833,25.9446373,-15.13970947,-25.17614746
8.689677833,15.76594162,-12.54283142,-32.30712891
9.020138833,2.419183731,-11.79197693,-35.3828125
9.350598833,2.022989273,-11.69137573,-35.60800171
9.681058833,2.940067291,-10.87291718,-35.7288208
10.01151983,2.190225601,-4.660186768,-37.02597046
10.34197942,1.184804916,-7.164611816,-36.31503296
10.67243942,3.205730438,-9.984649658,-35.88577271
11.00289942,2.523265839,-10.78010559,-35.46939087
11.33335908,0.848020554,-11.30957031,-35.88153076
11.66381908,-2.732414246,-10.85623932,-35.73727417
11.99427908,-8.10108757,-10.62014008,-35.25146484
12.32474242,-7.265739441,-11.09255981,-34.98394775
12.65520142,-4.248439789,-12.12908936,-35.10818481
12.98566142,-7.026748657,-12.83817291,-34.66360474
13.31611829,-13.54138374,-12.24273682,-33.31564331
13.64657729,-15.4587307,-12.30496216,-32.7336731
13.97703729,-18.75338554,-12.53829193,-30.29751587
14.30749646,-9.270202637,-11.8660965,-34.24264526
14.63795646,2.519464493,-12.80017853,-34.53024292
14.96841546,9.544353485,-13.77597046,-32.73968506
15.29887879,11.13548565,-12.35150909,-33.3616333
15.62933779,10.21799946,-10.83755493,-34.1918335
15.95979679,0.047323227,-11.32167053,-34.93292236
16.29025304,-0.346761703,-10.55859375,-34.39059448
16.62071204,-0.91620636,-10.31489563,-34.81820679
16.95117104,7.08808136,-7.65461731,-34.88122559
17.28162954,2.70381546,-1.370162964,-36.11929321
17.61208854,-2.128528595,-0.87928009,-36.34036255
17.94254754,-1.068517685,-1.550109863,-36.35848999
18.27300571,-0.426660538,-1.583206177,-35.97052002
18.60346471,12.41516972,-7.285446167,-33.51657104
18.93392271,8.237659454,-32.62284851,-20.8961792
19.26438167,9.365470886,-31.65187836,-21.05941772
19.59484067,16.40678978,-21.77111053,-25.45333862
19.92529967,17.0653019,-21.1232605,-25.17437744
20.25575792,15.08165741,-17.45618439,-27.90545654
20.58621592,13.07212257,-17.4637146,-27.8430481
20.91667392,14.30853271,-19.12349701,-26.74768066
21.24713171,14.18138885,-20.04524994,-26.12878418
21.57758971,16.67762184,-20.68169403,-25.23565674
21.90804771,12.92286491,-21.08628082,-26.67935181
22.23850617,10.61348724,-28.67095947,-21.98706055
22.56896417,8.919808388,-25.48516083,-24.36978149
22.89942217,12.5910511,-20.74166107,-25.58892822
23.22987904,13.0739336,-25.2803421,-20.86178589
23.56033704,17.04092026,-23.34544373,-20.14962769
23.89079504,17.26409912,-19.70348358,-22.9642334
24.22125321,21.35350037,-15.28551483,-22.39978027
24.55171121,26.82474518,-5.265571594,-21.32644653
24.88216821,24.0366478,11.27131653,-20.87390137
25.21262633,13.85088825,26.81092834,-15.54702759
25.54308333,4.537963867,32.22103882,-10.3364563
25.87354133,-2.937143326,31.6124382,-9.605773926
26.20399846,0.766710281,32.1146965,-8.743286133
26.53445546,-4.185354233,31.89345932,-8.97177124
26.86491246,-5.617483139,31.6955452,-9.943023682
27.19536904,-2.14739418,33.12372208,-7.554870605
27.52582704,14.21265697,29.37432098,-6.703155518
27.85628404,31.02150917,8.019416809,-10.01486206
28.18674117,26.08339691,7.6065979,-18.08874512
28.51719917,21.12582779,6.779029846,-22.26364136
28.84765617,22.63166046,3.769287109,-22.8598938
29.17811304,23.22191811,0.155090332,-21.82458496
29.50857104,21.97563744,-3.358772278,-22.07571411
29.83902804,19.47537613,10.6051712,-21.85598755
30.16948583,-3.499475479,32.24010849,-7.91986084
30.49994283,-7.44487381,32.23295593,-6.379333496
30.83039883,-8.858545303,31.99402618,-6.090545654
31.16085504,-9.989141464,31.60414505,-6.942138672
31.49131104,-8.562446594,29.23955154,-13.159729
31.82176804,-6.295793533,30.45444107,-12.32275391
32.15222442,-2.605623245,32.0663681,-9.724578857
32.48268042,3.030508041,32.44017792,-9.773651123
32.81313742,5.094167709,32.52136993,-8.788787842
33.14359317,9.762402534,31.70132828,-7.622436523
33.47405017,8.544288635,32.20653152,-7.584014893
33.80450717,25.26222992,16.32479095,-13.7281189
34.13496492,28.77104568,-10.38656616,-12.86300659
34.46542192,24.90156174,-14.71874237,-15.67736816
34.79587992,25.25872421,-14.30988312,-15.68527222
35.12633879,20.94047928,-13.63905334,-20.59674072
35.45679579,18.73756409,-11.77023315,-23.03634644
35.78725379,17.46030235,-13.46096802,-23.25866699
36.11771179,20.32176018,-12.30635071,-22.00650024
36.44816908,27.82507706,-4.828346252,-16.68753052
36.77862708,26.21252441,-6.66985321,-18.62838745
37.10908508,24.92797852,-9.194137573,-19.20425415
37.43954679,18.49715233,-15.89172363,-20.70901489
37.77000479,30.86974335,0.159393311,-13.134552
38.10046179,26.23085785,23.93767548,-4.355194092
38.43091596,25.0809288,24.63726807,-4.948913574
38.76137396,21.36379242,26.37407684,-9.459411621
39.09183196,19.71866608,27.18518066,-10.23669434
39.42228892,19.94941139,27.21494675,-9.538513184
39.75274692,18.31910133,28.46532059,-9.345977783
40.08320492,18.41447258,28.47767258,-9.344207764
40.41366329,23.03789711,24.47575378,-9.556396484
40.74412129,23.54099083,24.56073761,-9.083618164
41.07457929,24.12352562,24.38301849,-8.06149292
41.40503742,26.09227753,22.0506897,-9.024871826
41.73549642,31.33083344,9.679458618,-11.97952271
42.06595442,27.06750679,22.96971893,-8.594970703
42.39641308,28.50562286,20.9233551,-9.20413208
42.72687208,31.10767365,13.06008911,-11.25845337
43.05733108,30.20621872,18.46115875,-8.825561523
43.38778846,21.57246208,27.79113007,-8.948760986
43.71824746,22.49499702,27.54466248,-7.509246826
44.04870546,25.91822052,27.16066742,-2.003143311
44.37916446,24.65383911,28.68125534,-3.04486084
44.70962246,24.70046234,27.1219101,-6.460388184
45.04008146,23.75794029,23.60887146,-13.65222168
45.37053904,23.35415459,21.58295441,-17.2013855
45.70099804,22.71418953,23.35358429,-15.57870483
46.03145704,24.33526039,17.72724915,-18.64810181
46.36191667,30.15087509,13.78199768,-15.27624512
46.69237567,29.5155468,17.26120758,-13.61593628
47.02283367,22.65669632,19.85187531,-19.04455566
47.35329242,24.63041306,11.94535828,-22.40847778
47.68375142,24.64900208,4.183700562,-24.51879883
48.01421042,23.50419426,0.310554504,-26.01678467
48.34466867,25.49798203,-0.695922852,-24.24908447
48.67512767,24.88859558,-0.61857605,-25.22470093
49.00558667,24.37379646,-2.9686203,-25.00784302
49.33604629,25.17273712,-4.897102356,-23.91372681
49.66650529,26.50977325,-6.830764771,-22.52606201
49.99696429,26.61264801,-11.28668976,-20.52542114
50.32742279,23.0759697,31.09976578,-1.149841309
50.65788079,9.203068733,36.89347839,2.395263672
50.98833979,10.34016514,36.88553238,2.823974609
51.31879729,10.34479332,36.64291763,0.972381592
51.64925529,10.17729092,36.34568405,1.643768311
51.97971329,7.987762451,37.59038162,1.751220703
52.31017017,9.023615837,36.65846634,-1.069885254
52.64062817,10.06919289,33.82618332,-10.45480347
52.97108617,6.899957657,34.33888626,-11.50314331
53.30154779,13.06156731,29.99256897,-16.6769104
53.63200479,16.02012825,10.43241119,-30.77322388
53.96246279,17.17181015,-0.712966919,-31.86495972
54.29291704,17.9610405,-3.005241394,-30.89239502
54.62337504,14.42928505,-3.333076477,-33.18457031
54.95383304,20.66230965,-6.429092407,-27.83676147
55.28429442,20.94112015,-15.00158691,-25.62255859
55.61475142,21.37047195,-18.39080811,-23.66082764
55.94520942,18.15459251,-14.87999725,-27.86129761
56.27566317,20.27333832,34.77585602,-4.932891846
56.60612017,13.37139893,39.27785873,0.377624512
56.93657717,8.909605026,40.68242264,0.297668457
57.26703446,8.56145668,41.08091354,-3.026275635
57.59749146,9.703591347,40.2943306,-2.213806152
57.92794846,2.825325012,39.54132462,-7.885131836
58.25840579,0.363712311,37.96802139,-10.79986572
58.58886179,3.388221741,38.09340286,-9.769348145
58.91931879,24.67601967,19.6967926,-19.59625244
59.24977529,32.10790634,-1.782218933,-17.67987061
59.58023229,34.15865326,-5.388442993,-14.46374512
59.91068929,34.64660645,-2.211807251,-14.4821167
60.24114571,33.8249588,0.376312256,-16.0199585
60.57160171,32.7317276,5.811218262,-17.46008301
60.90205871,30.22315979,4.40612793,-21.15432739
61.23251621,28.1805954,3.455436707,-23.37097168
61.56297221,30.09237289,-3.315216064,-19.23010254
61.89342821,27.1560173,-6.221191406,-21.87643433
62.22388579,26.19921112,-4.130012512,-24.11404419
