Time (s),X (µT),Y (µT),Z (µT)
0.257789125,-17.00925255,-36.18257141,0.149261475
0.588244042,-17.68466377,-36.0019989,1.13772583
0.918702042,-17.9686451,-35.90037537,0.844085693
1.249161042,-17.16736412,-36.389534,2.074829102
1.579619042,-16.28838539,-37.05570984,3.36026001
1.910076625,-16.28296089,-37.20238495,3.420959473
2.240535625,-16.30976677,-36.99350739,3.599822998
2.570993625,-17.03668404,-36.71854401,2.293457031
2.901455417,-17.31630898,-36.19059753,1.660064697
3.231913417,-17.58663368,-36.12477875,2.088928223
3.562371417,-18.15094185,-35.67060089,1.927520752
3.892826167,-17.73774147,-36.19930267,2.513336182
4.223285167,-18.15559196,-36.14551544,2.192169189
4.553743167,-17.66692543,-36.31121063,2.234985352
4.884201417,-17.10514259,-36.40409088,1.969177246
5.214659417,-15.83146858,-36.98181152,4.378540039
5.545117417,-16.21609306,-36.73361969,6.785491943
5.875574375,-14.71364784,-37.45075989,7.525115967
6.206032375,-15.55768776,-37.24856567,7.918243408
6.536490375,-14.79157829,-37.27379608,6.983428955
6.866948,-15.7478466,-37.26797485,6.37689209
7.197406,-14.53497505,-37.60921478,5.478057861
7.527864,-13.4107914,-37.82559204,7.647247314
7.858322125,-12.77731514,-37.69300079,7.423400879
8.188780125,-12.50532722,-38.23738098,8.120788574
8.519238125,-12.87461662,-38.15452576,8.072540283
8.8496945,-14.10432625,-37.46674347,8.446044922
9.1801525,-13.03461266,-38.05726624,9.194152832
9.5106105,-13.37000465,-37.60158539,9.985839844
9.841068292,-14.95578194,-36.93626404,10.48934937
10.17152629,-15.08714104,-36.80179596,10.25476074
10.50198329,-14.11475945,-37.16590118,10.74462891
10.83244188,-13.85084724,-37.56494904,10.61166382
11.16289888,-14.15281487,-37.66403198,10.40908813
11.49335688,-13.01659966,-37.70178986,10.63604736
11.82381338,-13.12213326,-37.9460907,9.82510376
12.15427038,-13.63946342,-37.42910767,10.30303955
12.48472838,-15.58044243,-37.06855011,9.533477783
12.81518438,-15.11505318,-37.18226624,9.012207031
13.14564138,-13.80756187,-37.90718079,8.914398193
13.47609838,-14.58374596,-37.69609833,9.305511475
13.80655625,-14.32490349,-37.78727722,9.267089844
14.13701325,-10.97821617,-38.86367798,5.238220215
14.46747025,-11.98221397,-39.07867432,4.950622559
14.79792813,-15.12681007,-37.75261688,6.096069336
15.12838513,-13.68266487,-38.46609497,8.420471191
15.45884213,-19.03368187,-35.49294281,9.624359131
15.78929913,-13.59884071,-37.80435181,5.467651367
16.11975613,-14.06684303,-37.54178619,4.422668457
16.45021413,-24.44673729,-30.35366821,-1.498443604
16.78067063,-29.28787041,-25.62845612,-1.899597168
17.11112863,-29.06270027,-26.6975708,5.424926758
17.44158563,-24.3774395,-30.53323364,10.03240967
17.77204425,-24.95914268,-29.17940521,13.17767334
18.10250125,-24.39031792,-30.53970337,9.181274414
18.43295925,-24.82211876,-30.4881897,11.58694458
18.76341588,-25.40174294,-29.98820496,9.35748291
19.09387388,-27.77766991,-27.67504883,7.712341309
19.42433188,-21.56522179,-32.03264618,12.38348389
19.75478967,-24.70798683,-30.21089172,9.688659668
20.08524667,-26.21980476,-29.43236542,2.64239502
20.41570467,-24.59407234,-31.01092529,6.338653564
20.74616279,-26.65007591,-28.91309357,8.440246582
21.07662079,-24.33174324,-30.90692139,9.974761963
21.40707879,-22.2925396,-32.14768982,12.17391968
21.73753725,-21.45964241,-32.65950775,11.69308472
22.06799525,-16.86508751,-34.28250122,15.79437256
22.39845325,-17.70907784,-34.27083588,13.83929443
22.72891075,-22.01901054,-31.98722839,13.66680908
23.05936975,-23.4685688,-31.39890289,10.74069214
23.38982775,-22.37945747,-31.87533569,11.55761719
23.72028579,-21.68059349,-32.18791199,12.290802
24.05074379,-21.57428169,-32.21829987,12.04092407
24.38120179,-21.01313591,-32.54109192,11.90405273
24.71166004,-21.8011837,-32.58420563,11.8260498
25.04211804,-21.7347126,-32.00940704,14.32196045
25.37257604,-27.25776863,-26.8156662,15.82943726
25.70303363,-34.7647934,10.27659607,13.98059082
26.03349163,-26.5248127,24.67380524,5.046142578
26.36394962,-30.34154701,20.1476059,6.429473877
26.69440913,-37.12763977,-3.752571106,11.03399658
27.02486713,-34.35528564,-17.15747833,4.515472412
27.35532513,-28.21564674,-26.27324677,2.209747314
27.68578313,-27.61052513,-26.71024323,4.416564941
28.01624113,-29.0915699,-25.40897369,4.598205566
28.34669913,-28.98723412,-25.52696228,7.737823486
28.67715675,-29.3893528,-25.09184265,7.738433838
29.00761575,-28.55106926,-25.88847351,7.538970947
29.33807375,-27.18607521,-26.52548981,-2.025268555
29.66853254,-26.6714077,-27.83494568,3.061340332
29.99899054,-30.52729988,-24.10372925,1.191619873
30.32944954,-37.47305298,-7.517997742,4.176483154
30.65990729,-34.56105042,14.40677643,8.758483887
30.99036529,-25.95630455,25.86592102,6.268585205
31.32082329,-26.36287498,25.36074829,6.51159668
31.65128125,-26.15156364,25.70674896,7.846893311
31.98173925,-19.29083824,28.47770309,15.06958008
32.31219725,-10.7066288,33.39239502,10.74957275
32.64265538,-8.660017014,34.54977417,8.250915527
32.97311238,-20.98354912,28.47734833,11.91897583
33.30357038,-28.67527962,20.37864685,13.68151855
33.63402779,-30.30758095,18.14497375,13.70159912
33.96448479,-29.96794319,19.24003601,11.69662476
34.29494279,-32.14415741,16.26313019,11.50958252
34.62540163,-35.38974762,10.0315094,6.171691895
34.95585863,-34.27075195,12.42327881,4.597320557
35.28631663,-35.73635864,8.414161682,7.99041748
35.61677463,-36.13846588,-2.001785278,13.83093262
35.94723075,-35.51435852,-8.092269897,12.96078491
